City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
288,Panjab,34.388,67.0233,62.42,29,0,8.95,AF,clear sky
289,Basco,10.1815,119.236,89.19,55,91,12.06,PH,overcast clouds
290,Mandapam,34.1667,77.5833,62.13,48,30,5.55,IN,scattered clouds
291,Mackenzie,70.4692,-68.5914,37.63,100,90,2.3,CA,light rain
292,Sarlat-La-Caneda,50.0009,2.651,62.8,91,0,5.75,FR,clear sky
293,Gusev,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
294,Janesville,22.0752,-159.319,80.92,79,75,5.01,US,light rain
295,Teahupoo,-46.1927,168.8643,48.47,90,45,2.89,NZ,light rain
296,Salalah,22.5667,59.5289,97.93,45,67,5.12,OM,broken clouds
297,Kedrovyy,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
298,Paita,-17.6394,-71.3375,59.4,84,17,3.42,PE,few clouds
299,Yurginskoye,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
300,Luau,-8.1881,15.375,59.7,35,0,5.7,AO,clear sky
301,Deputatskiy,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
302,Tessalit,20.1986,1.0114,84.83,50,26,4.52,ML,scattered clouds
303,Ghanzi,-20.4667,22.7167,42.57,27,0,6.24,BW,clear sky
304,Bandarbeyla,8.4054,48.4845,79.79,54,37,27.98,SO,scattered clouds
305,Dwarka,34.1667,77.5833,62.13,48,30,5.55,IN,scattered clouds
306,Yar-Sale,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
307,Lata,-8.145,159.5921,84.04,71,27,5.97,SB,light rain
308,Karasjok,70.0311,20.9714,50.0,82,100,30.2,NO,light rain
309,Coromandel,-46.6,168.3333,48.79,61,46,10.33,NZ,scattered clouds
310,Carnarvon,42.6001,-73.9662,61.61,94,1,4.21,US,clear sky
311,Matara,5.9485,80.5353,80.92,85,100,14.45,LK,overcast clouds
312,Sungaipenuh,3.3,117.6333,83.7,70,20,4.61,ID,few clouds
313,Kodiak,22.0752,-159.319,80.92,79,75,5.01,US,light rain
314,Gat,27.0377,14.4283,79.34,36,1,9.24,LY,clear sky
315,Bethel,22.0752,-159.319,80.92,79,75,5.01,US,light rain
316,Hwange,-18.5278,32.1284,50.4,57,1,0.81,ZW,clear sky
317,Price,22.0752,-159.319,80.92,79,75,5.01,US,light rain
318,Tabiauea,3.0707,172.7902,83.12,74,20,12.28,KI,few clouds
319,Esmeralda,21.8525,-78.1169,79.84,92,1,5.66,CU,clear sky
320,Kitgum,3.4836,34.1492,64.47,81,34,8.1,UG,scattered clouds
321,Nan,15.9167,104.75,80.65,78,100,11.25,TH,overcast clouds
322,Alenquer,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
323,Namatanai,-10.6167,150.6667,78.49,72,91,13.38,PG,overcast clouds
324,Saraland,22.0752,-159.319,80.92,79,75,5.01,US,light rain
325,El Alto,-17.6394,-71.3375,59.4,84,17,3.42,PE,few clouds
326,Caxias,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
327,Mildura,42.6001,-73.9662,61.61,94,1,4.21,US,clear sky
328,Rawson,-54.8,-68.3,35.26,87,75,0.0,AR,broken clouds
329,Namibe,-8.1881,15.375,59.7,35,0,5.7,AO,clear sky
330,Olinda,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
331,Motygino,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
332,Mahbubabad,34.1667,77.5833,62.13,48,30,5.55,IN,scattered clouds
333,Murgab,42.0551,59.3788,89.69,20,0,9.01,TM,clear sky
334,Suntar,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
335,Gazli,40.1333,63.45,94.06,16,0,12.77,UZ,clear sky
336,Kaitangata,-46.6,168.3333,48.79,61,46,10.33,NZ,scattered clouds
337,Moses Lake,22.0752,-159.319,80.92,79,75,5.01,US,light rain
338,Juan Lacaze,-33.6971,-53.4616,46.27,81,99,5.44,UY,overcast clouds
339,Asau,46.4333,26.4,63.52,82,45,4.7,RO,scattered clouds
340,Barsovo,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
341,Mogwase,-34.4187,19.2345,44.91,69,44,10.33,ZA,light rain
342,Nantucket,22.0752,-159.319,80.92,79,75,5.01,US,light rain
343,Mvuma,-18.5278,32.1284,50.4,57,1,0.81,ZW,clear sky
344,Pecos,22.0752,-159.319,80.92,79,75,5.01,US,light rain
345,Tuxtla Gutierrez,27.9769,-114.0611,69.71,84,54,11.39,MX,broken clouds
346,Okato,-46.6,168.3333,48.79,61,46,10.33,NZ,scattered clouds
347,Haibowan,30.5092,117.0506,90.05,53,61,8.86,CN,broken clouds
